2,1480000,2,1,1,0
1,300000,1,1,1,1
2,1035000,2,1,0,0
3,1465000,3,2,0,0
3,850000,3,2,1,0
4,1600000,3,1,2,0
2,941000,2,1,0,0
3,1876000,4,2,0,0
2,1636000,2,1,2,0
2,1097000,3,1,2,0
2,700000,2,2,1,1
3,1350000,3,2,2,0
2,750000,2,2,1,1
2,1172500,2,1,1,0
1,441000,1,1,1,1
2,1310000,2,1,2,0
3,1200000,3,2,1,0
3,1176500,2,1,1,0
3,955000,3,1,0,0
2,890000,2,1,1,0
4,1330000,4,2,2,0
3,1090000,3,2,2,1
2,500000,2,1,1,1
2,1100000,2,2,1,0
2,1315000,2,1,0,0
1,426000,1,1,1,1
3,1447500,3,3,1,0
1,457000,1,1,1,1
2,1135000,2,2,2,0
4,1542000,4,3,1,0
3,1290000,3,2,2,0
3,1290000,3,1,1,0
1,470000,1,1,1,1
2,1180000,2,1,0,0
3,1195000,3,2,1,0
2,1012500,2,1,0,0
2,1030000,2,1,1,0
3,730000,3,2,1,0
3,770000,3,2,1,0
2,603000,2,1,1,0
3,600000,2,1,1,0
2,500000,2,1,1,1
3,720000,2,1,1,0
4,785000,3,1,2,0
6,725000,6,3,2,0
2,515000,2,1,1,1
2,530000,2,1,1,1
3,895000,3,1,6,0
3,805000,3,1,1,0
3,752000,3,1,1,1
2,440000,2,1,1,1
5,755000,3,2,2,0
3,830000,3,1,2,0
2,462500,2,1,1,1
3,670000,3,2,2,0
2,675000,2,1,1,0
3,1042000,3,2,5,0
3,910000,3,1,1,0
4,773000,5,3,4,0
3,810000,3,3,2,0
3,715000,3,2,2,0
3,790000,3,1,3,0
3,685000,3,1,1,0
3,805000,3,1,1,0
2,510000,2,1,1,1
3,612000,3,2,1,0
3,662000,3,1,2,0
4,978000,4,3,2,0
3,720000,3,1,1,0
4,765000,4,1,2,0
4,900000,4,2,3,0
2,1275000,2,1,0,0
2,1455000,2,1,0,0
3,2850000,3,2,0,0
3,1850000,3,2,0,0
2,1436000,2,1,0,0
2,1110000,1,1,0,0
2,1550000,2,1,1,0
4,2300000,4,2,1,0
3,1800000,3,2,1,0
2,2120000,2,1,1,0
3,1800000,3,1,1,0
3,1800000,3,2,1,0
2,1810000,2,1,0,0
3,2615000,3,2,1,0
5,2100000,5,2,1,0
3,1300000,3,1,0,0
3,1370000,3,2,2,0
2,1000000,2,1,0,0
3,2575000,3,2,1,0
2,1322500,2,1,0,0
2,1562500,2,1,0,0
3,2000000,3,2,1,0
3,1900000,3,1,0,0
3,3010000,3,2,0,0
4,2800000,4,3,1,0
2,647000,2,1,1,1
3,2100000,2,1,1,0
3,2000000,3,1,1,0
1,442500,1,1,0,1
4,4735000,4,2,1,0
2,1340000,2,1,0,0
3,1801000,3,1,1,0
3,1532000,3,3,1,0
3,3755000,3,2,2,0
